real,imag
16918,0
581,-49
640,-111
763,-189
1008,-323
1663,-633
5992,-2581
-3383,1593
-1300,650
-802,416
-583,313
-462,248
-386,205
-334,176
-298,152
-267,133
-244,118
-233,107
-219,93
-210,82
-199,73
-190,65
-189,56
-179,47
-177,44
-174,40
-167,30
-168,24
-166,20
-162,15
-167,10
-164,5
-162,0
-164,-5
-167,-10
-162,-15
-166,-20
-168,-24
-167,-30
-174,-40
-177,-44
-179,-47
-189,-56
-190,-65
-199,-73
-210,-82
-219,-93
-233,-107
-244,-118
-267,-133
-298,-152
-334,-176
-386,-205
-462,-248
-583,-313
-802,-416
-1300,-650
-3383,-1593
5992,2581
1663,633
1008,323
763,189
640,111
581,49
